Reference,Run
2018_SCIENCE_Pace_native_simplified,SRR6228885
2018_SCIENCE_Pace_native_simplified,SRR6228886
2018_SCIENCE_Pace_native_simplified,SRR6228887
2016_NAT_IMMUNOL_Roychoudhuri_simplified,SRR3203617
2016_NAT_IMMUNOL_Roychoudhuri_simplified,SRR3203621
2016_NAT_IMMUNOL_Roychoudhuri_simplified,SRR3203622
2016_NAT_IMMUNOL_Roychoudhuri_simplified,SRR3203623
2015_IMMUNITY_Martinez_simplified,SRR1731126
2015_IMMUNITY_Martinez_simplified,SRR1731127
2015_IMMUNITY_Martinez_simplified,SRR1731128
2015_IMMUNITY_Martinez_simplified,SRR1731129
2015_IMMUNITY_Martinez_simplified,SRR1731130
2015_IMMUNITY_Martinez_simplified,SRR1731131
2015_IMMUNITY_Martinez_simplified,SRR1731132
2015_IMMUNITY_Martinez_simplified,SRR1731133
2015_IMMUNITY_Martinez_simplified,SRR1731134
2015_IMMUNITY_Martinez_simplified,SRR1731135
2015_IMMUNITY_Martinez_simplified,SRR1731136
2015_IMMUNITY_Martinez_simplified,SRR1731137
